Date,Machine_ID,Production_Count,Defective_Count,Downtime_Minutes
2024-01-18,M3,1142,17,30
2024-01-18,M4,1230,29,30
2024-01-19,M1,1411,39,8
2024-01-19,M2,869,53,23
2024-01-19,M3,847,13,15
2024-01-19,M4,1029,24,26
2024-01-20,M1,1464,52,26
2024-01-20,M2,1305,46,20
2024-01-20,M3,1224,60,16
2024-01-20,M4,1385,48,23
2024-01-21,M1,1176,56,25
2024-01-21,M2,802,32,8
2024-01-21,M3,1342,55,6
2024-01-21,M4,1376,46,5
2024-01-22,M1,1071,11,13
2024-01-22,M2,1221,43,21
2024-01-22,M3,1364,21,17
2024-01-22,M4,919,54,5
2024-01-23,M1,914,17,18
2024-01-23,M2,1029,54,19
2024-01-23,M3,1171,24,30
2024-01-23,M4,1380,32,9
2024-01-24,M1,1093,59,16
2024-01-24,M2,1285,40,26
2024-01-24,M3,914,57,26
2024-01-24,M4,924,60,28
2024-01-25,M1,961,10,24
2024-01-25,M2,912,22,6
2024-01-25,M3,1240,43,14
2024-01-25,M4,1107,42,16
2024-01-26,M1,1028,52,25
2024-01-26,M2,1086,33,27
2024-01-26,M3,1406,43,7
2024-01-26,M4,1248,30,22
2024-01-27,M1,921,10,20
2024-01-27,M2,1254,14,7
2024-01-27,M3,838,42,19
2024-01-27,M4,1240,40,22
2024-01-28,M1,985,14,19
2024-01-28,M2,1221,33,5
2024-01-28,M3,889,38,16
2024-01-28,M4,1050,14,15
2024-01-29,M1,1019,17,27
2024-01-29,M2,991,57,19
2024-01-29,M3,1036,60,5
2024-01-29,M4,1334,37,20
2024-01-30,M1,1336,42,5
2024-01-30,M2,1248,16,12
2024-01-30,M3,1357,40,12
2024-01-30,M4,1460,51,26
2024-01-31,M1,1162,26,9
2024-01-31,M2,1386,52,12
2024-01-31,M3,814,52,10
2024-01-31,M4,848,21,25
2024-02-01,M1,1370,50,6
2024-02-01,M2,1042,28,19
2024-02-01,M3,1059,10,12
2024-02-01,M4,1173,28,25
2024-02-02,M1,936,31,6
2024-02-02,M2,1206,17,27
2024-02-02,M3,1467,26,21
2024-02-02,M4,1383,39,15
2024-02-03,M1,1259,46,7
2024-02-03,M2,1473,52,22
2024-02-03,M3,881,57,26
2024-02-03,M4,971,27,14
2024-02-04,M1,1351,50,7
2024-02-04,M2,1460,45,25
2024-02-04,M3,1274,58,24
2024-02-04,M4,1329,39,16
2024-02-05,M1,1317,60,30
2024-02-05,M2,1181,23,20
2024-02-05,M3,1253,17,14
2024-02-05,M4,1477,57,26
2024-02-06,M1,992,26,22
2024-02-06,M2,1093,48,27
2024-02-06,M3,1385,15,27
2024-02-06,M4,929,34,19
2024-02-07,M1,1397,11,22
2024-02-07,M2,946,39,20
2024-02-07,M3,941,26,26
2024-02-07,M4,1181,11,14
2024-02-08,M1,1288,27,17
2024-02-08,M2,941,26,13
2024-02-08,M3,858,32,28
2024-02-08,M4,1265,33,30
2024-02-09,M1,917,30,11
2024-02-09,M2,1350,56,12
2024-02-09,M3,818,40,22
2024-02-09,M4,980,42,27
2024-02-10,M1,848,19,17
2024-02-10,M2,1058,33,19
2024-02-10,M3,1204,46,16
2024-02-10,M4,973,33,7
2024-02-11,M1,1328,29,19
2024-02-11,M2,1314,60,30
2024-02-11,M3,922,58,30
2024-02-11,M4,1312,51,9
2024-02-12,M1,848,26,7
2024-02-12,M2,819,37,17
2024-02-12,M3,975,10,14
2024-02-12,M4,954,51,24
2024-02-13,M1,975,60,18
2024-02-13,M2,1337,43,6
2024-02-13,M3,1462,13,8
2024-02-13,M4,902,51,23
2024-02-14,M1,951,33,15
2024-02-14,M2,988,16,26
2024-02-14,M3,1440,60,9
2024-02-14,M4,1425,15,15
2024-02-15,M1,1356,16,10
2024-02-15,M2,1418,46,15
2024-02-15,M3,1410,18,7
2024-02-15,M4,1247,27,16
2024-02-16,M1,1053,42,22
2024-02-16,M2,989,11,17
2024-02-16,M3,825,28,9
2024-02-16,M4,1393,19,6
2024-02-17,M1,1012,10,26
2024-02-17,M2,985,57,10
2024-02-17,M3,990,42,9
2024-02-17,M4,903,23,9
2024-02-18,M1,993,30,10
2024-02-18,M2,1335,27,19
2024-02-18,M3,1243,50,21
2024-02-18,M4,1112,26,13
2024-02-19,M1,807,32,9
2024-02-19,M2,1232,48,20
2024-02-19,M3,893,36,19
2024-02-19,M4,880,21,29
2024-02-20,M1,1372,29,11
2024-02-20,M2,1346,30,25
2024-02-20,M3,1163,10,27
2024-02-20,M4,929,23,30
2024-02-21,M1,1373,14,8
2024-02-21,M2,1111,11,8
2024-02-21,M3,1183,26,22
2024-02-21,M4,1351,37,28
2024-02-22,M1,1310,28,18
2024-02-22,M2,1208,27,9
2024-02-22,M3,1081,30,19
2024-02-22,M4,1396,18,30
2024-02-23,M1,1000,16,10
2024-02-23,M2,1398,56,15
2024-02-23,M3,1101,24,5
2024-02-23,M4,1012,46,24
2024-02-24,M1,1320,42,10
2024-02-24,M2,1363,40,22
2024-02-24,M3,1225,22,7
2024-02-24,M4,1388,42,5
2024-02-25,M1,1267,30,13
2024-02-25,M2,998,48,26
2024-02-25,M3,1223,13,29
2024-02-25,M4,1084,13,23
2024-02-26,M1,1213,55,8
2024-02-26,M2,1064,55,19
2024-02-26,M3,822,38,8
2024-02-26,M4,1403,26,18
2024-02-27,M1,1021,35,24
2024-02-27,M2,1192,27,15
2024-02-27,M3,1401,24,23
2024-02-27,M4,1163,12,24
2024-02-28,M1,841,25,15
2024-02-28,M2,884,48,11
2024-02-28,M3,1019,37,11
2024-02-28,M4,1427,11,9
2024-02-29,M1,1072,48,29
2024-02-29,M2,1138,15,10
2024-02-29,M3,941,53,17
2024-02-29,M4,1029,14,14
2024-03-01,M1,1049,12,23
2024-03-01,M2,880,42,14
2024-03-01,M3,1103,15,15
2024-03-01,M4,1475,10,11
2024-03-02,M1,1148,30,21
2024-03-02,M2,1209,55,7
2024-03-02,M3,1141,18,20
2024-03-02,M4,1154,55,27
2024-03-03,M1,973,24,11
2024-03-03,M2,848,33,26
2024-03-03,M3,1214,46,17
2024-03-03,M4,1263,60,29
2024-03-04,M1,1428,10,12
2024-03-04,M2,1297,13,20
2024-03-04,M3,1208,36,7
2024-03-04,M4,814,51,29
2024-03-05,M1,1062,54,28
2024-03-05,M2,970,49,24
2024-03-05,M3,1045,35,5
2024-03-05,M4,1334,58,30
2024-03-06,M1,1463,58,23
2024-03-06,M2,969,13,8
2024-03-06,M3,1074,48,8
2024-03-06,M4,841,46,18
2024-03-07,M1,1454,19,10
2024-03-07,M2,1031,12,13
2024-03-07,M3,1082,31,10
2024-03-07,M4,938,45,29
2024-03-08,M1,1044,11,5
2024-03-08,M2,928,50,20
2024-03-08,M3,1461,11,5
2024-03-08,M4,812,21,27
2024-03-09,M1,982,53,25
2024-03-09,M2,1391,44,11
2024-03-09,M3,981,17,11
2024-03-09,M4,1474,21,13
2024-03-10,M1,1480,28,17
2024-03-10,M2,1213,60,12
2024-03-10,M3,846,16,14
2024-03-10,M4,1170,23,15
2024-03-11,M1,808,12,7
2024-03-11,M2,1149,38,18
2024-03-11,M3,967,54,29
2024-03-11,M4,1129,17,14
2024-03-12,M1,1170,48,29
2024-03-12,M2,1367,54,22
2024-03-12,M3,1360,21,30
2024-03-12,M4,1160,19,26
2024-03-13,M1,1231,50,8
2024-03-13,M2,888,52,18
2024-03-13,M3,811,11,15
2024-03-13,M4,1484,11,18
2024-03-14,M1,1157,32,20
2024-03-14,M2,810,51,21
2024-03-14,M3,1064,40,29
2024-03-14,M4,1202,50,5
2024-03-15,M1,1140,12,17
2024-03-15,M2,1062,46,17
2024-03-15,M3,959,56,13
2024-03-15,M4,1437,41,30
2024-03-16,M1,936,17,10
2024-03-16,M2,1188,20,19
2024-03-16,M3,847,43,21
2024-03-16,M4,1450,20,27
2024-03-17,M1,905,37,17
2024-03-17,M2,876,41,10
2024-03-17,M3,1322,41,6
2024-03-17,M4,1009,34,18
2024-03-18,M1,802,41,6
2024-03-18,M2,905,53,12
2024-03-18,M3,1082,52,24
2024-03-18,M4,1362,54,24
2024-03-19,M1,1034,59,7
2024-03-19,M2,1396,31,16
2024-03-19,M3,1395,36,11
2024-03-19,M4,851,45,9
2024-03-20,M1,1447,27,21
2024-03-20,M2,1079,46,15
2024-03-20,M3,985,30,17
2024-03-20,M4,945,51,8
2024-03-21,M1,1219,42,30
2024-03-21,M2,1190,33,30
2024-03-21,M3,961,24,20
2024-03-21,M4,920,25,6
2024-03-22,M1,1257,48,6
2024-03-22,M2,1176,45,27
2024-03-22,M3,1201,13,27
2024-03-22,M4,861,49,11
2024-03-23,M1,1253,16,19
2024-03-23,M2,1143,30,22
2024-03-23,M3,1256,39,10
2024-03-23,M4,1229,12,29
2024-03-24,M1,934,15,18
2024-03-24,M2,985,33,5
2024-03-24,M3,1012,28,8
2024-03-24,M4,1464,47,21
2024-03-25,M1,1274,42,22
2024-03-25,M2,1041,35,21
2024-03-25,M3,1451,47,25
2024-03-25,M4,1334,51,5
2024-03-26,M1,1085,15,22
2024-03-26,M2,1439,43,28
2024-03-26,M3,1000,48,7
2024-03-26,M4,1197,32,23
2024-03-27,M1,1046,26,27
2024-03-27,M2,1017,53,23
2024-03-27,M3,1094,36,9
2024-03-27,M4,812,15,27
2024-03-28,M1,1353,38,26
2024-03-28,M2,834,13,12
2024-03-28,M3,1285,39,22
2024-03-28,M4,1230,39,30
2024-03-29,M1,1472,44,23
2024-03-29,M2,916,46,19
2024-03-29,M3,964,24,29
2024-03-29,M4,1413,48,28
2024-03-30,M1,1242,15,22
2024-03-30,M2,820,51,14
2024-03-30,M3,1494,11,24
2024-03-30,M4,1264,28,9
