Date,Region,Dealer_ID,Units_Sold,Revenue,Returns
2024-01-17,West,D105,167,38744,5
2024-01-18,North,D103,454,69008,5
2024-01-18,South,D105,427,105042,4
2024-01-18,East,D102,403,88660,0
2024-01-18,West,D102,245,54635,8
2024-01-19,North,D103,421,96830,5
2024-01-19,South,D101,454,93524,1
2024-01-19,East,D103,269,48958,6
2024-01-19,West,D102,301,75250,9
2024-01-20,North,D103,180,30960,10
2024-01-20,South,D102,500,87000,7
2024-01-20,East,D105,345,65895,9
2024-01-20,West,D104,268,45828,0
2024-01-21,North,D101,183,30744,5
2024-01-21,South,D103,408,101592,6
2024-01-21,East,D103,228,37620,8
2024-01-21,West,D102,500,100000,9
2024-01-22,North,D103,238,54502,2
2024-01-22,South,D102,410,102090,8
2024-01-22,East,D102,180,27000,1
2024-01-22,West,D105,157,27475,0
2024-01-23,North,D105,115,24840,6
2024-01-23,South,D105,446,74482,2
2024-01-23,East,D102,184,27784,3
2024-01-23,West,D101,197,36248,5
2024-01-24,North,D103,246,54612,2
2024-01-24,South,D105,416,64064,3
2024-01-24,East,D103,162,27216,5
2024-01-24,West,D101,383,67408,1
2024-01-25,North,D105,248,45136,3
2024-01-25,South,D101,299,71760,4
2024-01-25,East,D103,187,31416,3
2024-01-25,West,D102,269,42502,3
2024-01-26,North,D102,152,36632,10
2024-01-26,South,D104,182,27482,8
2024-01-26,East,D103,117,23517,6
2024-01-26,West,D105,317,57694,0
2024-01-27,North,D105,407,92389,9
2024-01-27,South,D105,173,38060,6
2024-01-27,East,D101,364,59696,7
2024-01-27,West,D102,209,35112,7
2024-01-28,North,D103,424,101336,0
2024-01-28,South,D103,260,57200,0
2024-01-28,East,D102,493,78880,2
2024-01-28,West,D102,452,95824,5
2024-01-29,North,D104,220,33880,7
2024-01-29,South,D104,299,60996,3
2024-01-29,East,D103,296,61864,9
2024-01-29,West,D104,232,42688,6
2024-01-30,North,D101,287,47355,2
2024-01-30,South,D105,260,46800,7
2024-01-30,East,D105,337,66389,9
2024-01-30,West,D104,493,122264,4
2024-01-31,North,D101,215,35475,7
2024-01-31,South,D103,281,65192,2
2024-01-31,East,D104,241,53502,3
2024-01-31,West,D102,209,51623,0
2024-02-01,North,D103,122,20618,2
2024-02-01,South,D101,337,69759,9
2024-02-01,East,D105,347,69053,1
2024-02-01,West,D104,201,31557,5
2024-02-02,North,D103,154,28336,0
2024-02-02,South,D103,254,55880,3
2024-02-02,East,D104,283,45563,6
2024-02-02,West,D105,106,26182,2
2024-02-03,North,D104,409,61759,6
2024-02-03,South,D104,190,37240,2
2024-02-03,East,D102,155,33480,8
2024-02-03,West,D105,235,38540,5
2024-02-04,North,D104,445,107245,1
2024-02-04,South,D103,484,120516,5
2024-02-04,East,D101,212,51304,0
2024-02-04,West,D105,285,44460,2
2024-02-05,North,D104,192,42240,9
2024-02-05,South,D104,123,26691,5
2024-02-05,East,D105,164,33948,3
2024-02-05,West,D105,277,57616,8
2024-02-06,North,D104,492,78720,6
2024-02-06,South,D101,149,27565,9
2024-02-06,East,D104,262,49780,4
2024-02-06,West,D102,129,20382,9
2024-02-07,North,D103,499,99800,1
2024-02-07,South,D104,176,35200,2
2024-02-07,East,D104,101,17271,7
2024-02-07,West,D105,113,17854,0
2024-02-08,North,D101,211,45365,4
2024-02-08,South,D104,152,35568,6
2024-02-08,East,D101,168,33600,9
2024-02-08,West,D105,382,86332,3
2024-02-09,North,D103,215,42785,4
2024-02-09,South,D102,358,75180,4
2024-02-09,East,D102,320,50880,4
2024-02-09,West,D101,192,36288,6
2024-02-10,North,D102,307,49120,5
2024-02-10,South,D104,155,31155,5
2024-02-10,East,D105,185,46250,1
2024-02-10,West,D105,273,46956,0
2024-02-11,North,D102,293,72371,3
2024-02-11,South,D101,444,72372,10
2024-02-11,East,D102,124,22072,3
2024-02-11,West,D102,403,64480,6
2024-02-12,North,D101,196,31164,4
2024-02-12,South,D103,332,49800,2
2024-02-12,East,D103,338,64558,9
2024-02-12,West,D104,343,78890,8
2024-02-13,North,D105,194,34338,0
2024-02-13,South,D104,335,58960,1
2024-02-13,East,D105,488,99552,3
2024-02-13,West,D102,271,50135,10
2024-02-14,North,D101,367,91383,2
2024-02-14,South,D102,460,114540,10
2024-02-14,East,D103,495,93555,5
2024-02-14,West,D102,361,67507,2
2024-02-15,North,D101,145,24215,0
2024-02-15,South,D102,475,71250,5
2024-02-15,East,D105,383,68940,2
2024-02-15,West,D101,301,70133,7
2024-02-16,North,D103,102,24480,2
2024-02-16,South,D101,499,113273,9
2024-02-16,East,D102,332,83000,3
2024-02-16,West,D101,115,20470,10
2024-02-17,North,D101,191,43166,3
2024-02-17,South,D103,209,47652,10
2024-02-17,East,D105,263,60753,4
2024-02-17,West,D103,179,28282,7
2024-02-18,North,D103,363,89661,1
2024-02-18,South,D102,234,41652,3
2024-02-18,East,D103,195,32370,2
2024-02-18,West,D101,252,53424,5
2024-02-19,North,D104,224,52640,0
2024-02-19,South,D101,442,84422,2
2024-02-19,East,D105,452,90400,10
2024-02-19,West,D105,156,33540,6
2024-02-20,North,D104,421,104408,6
2024-02-20,South,D102,368,70288,1
2024-02-20,East,D105,470,81780,6
2024-02-20,West,D101,484,103576,4
2024-02-21,North,D102,483,95151,0
2024-02-21,South,D105,286,64350,9
2024-02-21,East,D104,166,33698,7
2024-02-21,West,D104,289,58956,1
2024-02-22,North,D104,369,59040,6
2024-02-22,South,D105,427,89670,2
2024-02-22,East,D103,476,102816,1
2024-02-22,West,D104,182,31304,5
2024-02-23,North,D105,225,45900,0
2024-02-23,South,D104,390,64350,8
2024-02-23,East,D102,175,28525,10
2024-02-23,West,D102,279,51894,4
2024-02-24,North,D103,492,110700,3
2024-02-24,South,D102,417,82983,7
2024-02-24,East,D102,247,40261,8
2024-02-24,West,D101,398,89152,10
2024-02-25,North,D101,287,51373,2
2024-02-25,South,D102,212,53000,9
2024-02-25,East,D101,384,89088,10
2024-02-25,West,D102,244,54168,6
2024-02-26,North,D101,217,50561,1
2024-02-26,South,D104,214,44298,9
2024-02-26,East,D103,371,79765,6
2024-02-26,West,D101,261,62118,1
2024-02-27,North,D101,437,98762,4
2024-02-27,South,D102,312,58968,4
2024-02-27,East,D101,251,53212,7
2024-02-27,West,D103,375,77250,7
2024-02-28,North,D103,179,37590,3
2024-02-28,South,D103,164,29356,0
2024-02-28,East,D104,228,53124,5
2024-02-28,West,D103,251,62750,6
2024-02-29,North,D102,475,105450,0
2024-02-29,South,D101,260,49920,10
2024-02-29,East,D103,108,16740,4
2024-02-29,West,D102,373,60799,10
2024-03-01,North,D102,105,21105,5
2024-03-01,South,D103,130,20410,0
2024-03-01,East,D102,314,49298,9
2024-03-01,West,D102,374,72930,0
2024-03-02,North,D105,304,75696,1
2024-03-02,South,D105,254,45720,8
2024-03-02,East,D105,401,69774,2
2024-03-02,West,D104,203,34104,5
2024-03-03,North,D101,252,48384,4
2024-03-03,South,D105,134,32160,3
2024-03-03,East,D103,206,35844,3
2024-03-03,West,D104,113,21018,3
2024-03-04,North,D102,377,82563,8
2024-03-04,South,D105,414,100602,5
2024-03-04,East,D104,295,66965,9
2024-03-04,West,D103,150,35250,5
2024-03-05,North,D104,446,111054,7
2024-03-05,South,D103,219,36135,7
2024-03-05,East,D105,286,48620,4
2024-03-05,West,D104,477,108756,9
2024-03-06,North,D102,448,106624,3
2024-03-06,South,D104,212,41976,2
2024-03-06,East,D102,462,83160,10
2024-03-06,West,D102,413,103250,4
2024-03-07,North,D101,372,60636,1
2024-03-07,South,D104,337,70770,1
2024-03-07,East,D103,389,87914,8
2024-03-07,West,D104,389,70409,0
2024-03-08,North,D102,114,20064,0
2024-03-08,South,D102,106,16748,8
2024-03-08,East,D102,344,81872,0
2024-03-08,West,D105,479,91489,8
2024-03-09,North,D102,186,43524,0
2024-03-09,South,D103,368,88320,9
2024-03-09,East,D102,199,35621,2
2024-03-09,West,D103,209,50787,4
2024-03-10,North,D104,159,35298,9
2024-03-10,South,D102,415,102090,6
2024-03-10,East,D104,151,31408,3
2024-03-10,West,D104,186,33480,0
2024-03-11,North,D103,395,80975,1
2024-03-11,South,D103,375,87750,0
2024-03-11,East,D103,232,45472,1
2024-03-11,West,D102,378,80136,9
2024-03-12,North,D104,390,73710,4
2024-03-12,South,D102,375,74625,3
2024-03-12,East,D102,449,106413,4
2024-03-12,West,D104,144,27648,2
2024-03-13,North,D103,169,31941,7
2024-03-13,South,D101,375,58500,7
2024-03-13,East,D104,422,71318,6
2024-03-13,West,D105,439,83849,4
2024-03-14,North,D103,464,108576,9
2024-03-14,South,D102,288,48384,5
2024-03-14,East,D103,347,71135,3
2024-03-14,West,D103,255,45645,0
2024-03-15,North,D103,289,54621,7
2024-03-15,South,D103,117,19305,4
2024-03-15,East,D102,346,82694,5
2024-03-15,West,D105,399,59850,0
2024-03-16,North,D101,216,53352,2
2024-03-16,South,D105,255,52275,7
2024-03-16,East,D105,399,98952,7
2024-03-16,West,D101,259,52836,0
2024-03-17,North,D103,374,67694,2
2024-03-17,South,D104,347,84321,9
2024-03-17,East,D105,441,73647,2
2024-03-17,West,D105,424,69960,9
2024-03-18,North,D103,496,82832,2
2024-03-18,South,D101,377,70122,4
2024-03-18,East,D102,149,33078,6
2024-03-18,West,D102,384,83712,9
2024-03-19,North,D103,377,60320,4
2024-03-19,South,D101,151,30653,3
2024-03-19,East,D104,269,55683,5
2024-03-19,West,D103,163,31133,3
2024-03-20,North,D105,264,44088,0
2024-03-20,South,D101,150,23700,0
2024-03-20,East,D103,339,79665,0
2024-03-20,West,D103,242,52272,5
2024-03-21,North,D102,198,45540,7
2024-03-21,South,D102,171,37449,5
2024-03-21,East,D105,412,89816,1
2024-03-21,West,D105,439,68484,3
2024-03-22,North,D105,120,18720,5
2024-03-22,South,D102,107,22042,8
2024-03-22,East,D104,256,41728,9
2024-03-22,West,D102,314,52438,7
2024-03-23,North,D105,399,87780,4
2024-03-23,South,D105,257,63736,6
2024-03-23,East,D101,142,22578,9
2024-03-23,West,D104,165,31020,3
2024-03-24,North,D103,498,89640,10
2024-03-24,South,D103,224,38080,0
2024-03-24,East,D101,363,62799,10
2024-03-24,West,D102,371,87556,2
2024-03-25,North,D101,214,47080,3
2024-03-25,South,D105,468,72072,7
2024-03-25,East,D101,358,89142,4
2024-03-25,West,D104,255,63750,4
2024-03-26,North,D105,286,63492,8
2024-03-26,South,D105,261,49590,3
2024-03-26,East,D102,400,96400,5
2024-03-26,West,D104,264,63888,8
2024-03-27,North,D101,205,51250,7
2024-03-27,South,D102,105,18585,8
2024-03-27,East,D103,447,98787,9
2024-03-27,West,D101,301,68628,3
2024-03-28,North,D103,415,79680,6
2024-03-28,South,D101,423,86292,10
2024-03-28,East,D104,170,27030,8
2024-03-28,West,D103,107,17441,7
2024-03-29,North,D103,118,24190,4
2024-03-29,South,D103,460,101660,7
2024-03-29,East,D104,364,71344,6
2024-03-29,West,D101,184,35512,9
2024-03-30,North,D104,351,52650,10
2024-03-30,South,D102,251,46184,6
2024-03-30,East,D104,457,79975,3
2024-03-30,West,D102,470,74730,4
